,proverb,meaning,example
909,شوخی شهرستانی,به شوخی هایی می گویند که از حد شوخی می گذرند و به اعمال فیزیکی شدید منجر می شوند.,
910,شیلنگ,. [ ل  ] ( ا ) لوله ای است لاستیکی که در کارهای فنی مورد استفاده قرار می گیرد. از این لوله برای انتقال اب یا مواد سوختی ( بنزین و غیره ) در فواصل متحرک ماشینها و اتومبیل استفاده می شود، و ان دارای انواع مختلف است :  لاستیکی ساده ،  نسوز و  اجیده که در ساختمان ان نخ ابریشم یا رشته های نازک سیمی بکار رفته است. از  برای اب پاشی در باغبانی و دستگاههای اتش نشانی نیز استفاده می شود. قطر دهانه  متفاوت و بسته به مورد استفاده است. ( از فرهنگ فارسی معین ).,
911,شیله پیله نداشتن,درست کاری و با خلوص نیت، ساده و بی کلک.,
912,شیمبل,جاسازی کردن، مخفی کردن,
913,صابون به دل مالیدن,خود را برای کسب لذت روحی یا جسمی اماده کردن، وعده و وعید خوش به خود دادن.,
914,صابون چرک را می برد چرک صابون را,هر عملی یک عکس العمل دارد، در خشم و پرخاشجویی اگر طرف مقابل ناراحت می شود، خود پر خاشگر هم از ناراحتی بی نصیب نمی ماند.,
915,صابون کسی به تن خوردن,هنگامی که صدمه و ضرر و بدی های کسی به شخص دیگر رسیده و ثابت شده باشد.,
916,صابون کسی به تن یا جامه ی دیگری خوردن,زیان کسی به دیگری رسیدن,همین که درباره ی اقدس خانم پرسید، فهمیدم که صابونش به جامه ی این بیچاره هم خورده.
917,صاف شدن,. [ ش  د ] ( مص مرکب ) یک رو شدن. یک رنگ شدن : صاف چون ایینه میباید شدن با نیک و بدهیچ چیز از هیچ کس در دل نمیباید گرفت.صائب.||  هوا؛ بی ابر شدن. افتاب شدن.,
918,صاف وپوست کنده یا صاف و پوست کنده,؛ صاف و پوست کندهصریح؛ بی پرده؛ اشکار,باید صاف وپوست کنده به شما بگویم که پولی دربین نیست. ان مرحوم همه را از لوله ی وافور رد کرد و برای ما چیزی جز بدهی باقی نگذاشت.
919,صبح دولت دمیدن,( ادبی؛ قدیم ) کامروا شدن؛ اقبال یافتن,باش تا صبح دولتت بدمد.  کاین هنوز از نتایج سحر است  ( انوری )
920,صبر ایوب,[ویکی شیعه]  اشاره به یکی از صفات حضرت ایوب دارد که در قران، حدیث لوح و زیارت ناحیه به ان اشاره شده است. در فرهنگ عمومی نیز  را برای ضرب المثل به کار می برند.صبر و بردباری حضرت ایوب دربرابر بلا شهرت بسیار دارد. روایت است که: ایوب ثروت فراوان داشت. اما این دارایی ها از بین رفت و سختی های فراوانی برایش پدید امد. این پیامبر الهی در برابر تمام مشکلات پیش امده، مدت هفت یا هیجده سال صبر و بردباری نمود. در هیچ یک از بلاها، عافیت و بهبودی در خواست نکرد. تا انکه خداوند متعال وی را به صفت صبر ستوده و تمام رنج های او را پایان و دولت و ثروت او را برگرداند.پیامبر می فرماید: ایوب بردبارترین مردم است. لذا در روز قیامت با وی بر سایرین دلیل اورده می شود. امام صادق می فرماید: شخصی که در دنیا گرفتار شده و بر اثر ان به فتنه و گمراهی افتاده، روز قیامت می گوید: پروردگارا! مرا به شدت گرفتار و مبتلا کردی تا این که به فتنه و تباهی دچار شدم. پس حضرت ایوب را می اورند و به ان مرد گفته می شود: ایا رنج و بلای تو سخت تر بود یا رنج و بلای ایوب؟ او هم به رنج و بلا در افتاد اما گرفتار فتنه و تباهی نشد.wikishia: صبر_ایوب,
921,صبر قاصد خداست کارها روبرو است,معروف است که: یک بار عطسه کردن به معنای صبر یا انحراف از کار است و عطسه دوم اقدام به انجام کار را تأکید می کند.,
922,صحبت بر سر چیزی بودن,مطرح بودن چیزی,اقایان، صحبت بر سر دگرگونی بنیادی نظام فاسد اداری است و نه اصلاح جزئیات و بزک کردن ان.
923,صحبت کسی با دیگری گل کردن یا گل انداختن یا کرک انداختن,گفتگوی کسی با دیگری گرم شدن یا ادامه یافتن,صحبت شان حسابی گل انداخته بود، از هر دری می گفتند و به نظر می رسید که خیال پایان دادن به حرف ها را ندارند.
924,صد تا چاقو بسازه یکیش دسته نداره,وصف دروغگو و پشت هم انداز.,
925,صد رحمت به کسی یا چیزی,هنگامی گفته می شود که چیزی در مقام مقایسه از چیز دیگر به مراتب بهتر باشد.,این ها دیگر واقعا بی شرمی را از حد گذرانده اند. باز هم صد رحمت به کفن دزد اولی.
926,صدا از دریوار در بیاد از فلانی در نمی یاد,کم حرف بی سر و صدا، در بعضی مواقع در مورد سکوت از روی ترس ( یا تعجب و یا شنیدن حرف حق و درست نیز گفته می شود ).,
927,صدای چیزی را درنیاوردن,رازی را فاش نکردن؛ درباره ی چیزی حرف نزدن,- خوردند و بردند و صدایش را هم درنیاوردند.  - تو رو خدا صداشو درنیار، اگه اقاجون بفهمه پدرمو درمی اره.
928,صدای کسی از جای گرم درامدن,کنایه از مرفه یا بی خبر از مشکلات و نگرانی های دیگران بودن,مثل اینکه تو صدات از جای گرم درمی اد؛ ما چه طور می تونیم مسافرت بریم؟ من برای همین زندگی سگی مجبورم از صبح تا شب جون بکنم.
929,صدای کسی را دراوردن,کسی را ازار دادن و باعث اعتراض کردن او شدن,- خانوم صدای منو درنیار، بذار ارامش داشته باشیم.  - نمی دانم با این نیم وجبی چه کنم، همین که پایم را از اتاق بیرون می گذارم، صدای بقیه ی بچه ها را درمی اورد.
930,صدای کسی یا چیزی را بریدن,کسی را ساکت کردن؛ صدای چیزی را قطع کردن,- صداتو ببر، اینجا جای عربده کشی نیست.  - تا مردم محله از ما شکایت نکرده اند، صدای این رادیو را ببر.
931,صدتایک غاز,1- چیز بی ارزش 2- کاری که برای شخص چیزی به بار نیاورد یا دست مزد قابل توجهی نداشته باشد,"1- این حرف های  را کنار بگذارید، اینها هیچ نتیجه ای ندارند، جز وقت تلف کردن.  2- درس بخونم که چی؟ که اخرش برم مثل بابام کارمند بشم و یک عمر قلم صدتایه غاز بزنم و همیشه هشتم گروی نهم باشه؟توضیح: غاز در دوران قاجار واحد پولی معادل نیم شاهی بوده که به دلیل کم ارزش بودنش معنی عام پول بسیار کم و ناچیز را یافته و پس از منسوخ شدن ان واحد، به همین معنی در چند اصط. باقی مانده است ازجمله گفته می شود: ""... یک غاز هم نمی ارزد. """
932,صدرحمت به کفن دزد اولی یا باز هم کفن دزد اولی,؛ باز هم کفن دزد اولی  کنایه از این که شخص یا گروه پلیدی رفته و شخص یا گروه پلیدتری جای او را گرفته است.,همه ی مردم از اینکه قدرت از دست ان دارودسته ی فاسد بیرون امده خوشحال بودند، اما کم نبودند کسانی که بعد از مدت کوتاهی گفتند صدرحمت به کفن دزدهای اولی. توضیح: جماعت کفن دزدها روزها گورهای مردگان تازه را در گورستان ها نشان می گذاشتند و شب ها کفن هایشان را می بردند و بسا کارهای خلاف انسانی با مردگان نوجوان و دختران به ظهور می رسید. وقتی این اعمال مورد لعن مردم و منبریان واقع شد، عده ای از دزدان کفن پوشی را به جای ان برگزیدند، یعنی شب ها کفن می پوشیدند و وقتی رهگذری نزدیک می شد، برمی خاستند و بی حرکت در برابرش می ایستادند و او را که به شدت ترسیده بود، لخت می کردند. شاید اصط. کفن دزد اولی از همین ریشه باشد زیرا اولی فقط کفن را می برد، دومی به مردگان تجاوز و سومی رهگذران را غارت می کرد.  ( خلاصه شده از تهران قدیم – جعفر شهری )
933,صغراوکبرا یا صغرا و کبرا چیدن,برای رسیدن به نتیجه ی موردنظر مقدمه چینی کردن,- خان عمو به قدری صغراوکبرا چید که خودش هم موضوع اصلی را فراموش کرد.  - بسیار خوب، همه ی انچه که تا حالا فرمودید، صغراوکبرای قضیه بود، حالا لطفا به اصل قضیه بپردازید. توضیح: صغرا و کبرا در منطق دو مقدمه ی یک قضیه اند که از مقابله ی انها نتیجه ای به دست می اید. صغرا مقدمه ی اول و کبرا مقدمه ی دوم است.
934,صغری کبری چیدن,مقدمه چینی، حاشیه رفتن.,
935,صفاسیتی,لذت زیاد بردن,
936,صلاح مملکت خویش خسروان دانند,هر کسی مصلحت کار خود را بهتر از دیگران تشخیص می دهد.,
937,صنار بده اش به همین خیال باش,برای ناامید و منصرف کردن کسی می گویند که به چیزی امید بسته و دل خوش کرده باشد.,
938,صورت زیبای ظاهر هیچ نیست ای برادر سیرت زیبا بیار,ظاهر و صورت زیبا به درد نمی خورد، باطن زیبا و اخلاق و روحیات نیکو داشتن ارزشمند و موجب موفقیت و عزت انسان در برابر خدا و دیگران و دیگران است.,
939,صورتش را با سیلی سرخ نگه می داره,اشاره به حفظ ابرو کردن.,
940,ضامن بهشت و دوزخ کسی نبودن,مسئول کارهای نیک و بد کسی نبودن؛ خود را موظف به ارشاد کسی ندانستن,ما که ضامن بهشت و دوزخ کسی نیستیم و توی گور دیگران هم نمی گذارندمان.  ( حاجی اقا- صادق هدایت )
941,ضامن بهشت و دوزخش نیستم,من وظیفه خودم را به خوبی انجام میدهم وکاری به بد و خوب بعدش ندارم.,
942,ضامن نسپردن که,... الزام یا تعهد نداشتن که... ؛ موظف نبودن که...,دوست عزیز، معامله اومد نیومد داره، ضامن نسپرده که حتما بیست درصد سود داشته باشه !
943,ضایع,. [ ی  ] ( ع ص ) تلف. تباه. ( دهار ) : ایزد امروز همه کار برای تو کندهمه عالم بمراد و بهوای تو کنداز لطف هرچه کند با تو سزای تو کندزانکه  نکند هرچه بجای تو کند.منوچهری ( دیوان ص 192 ).خواجه احتیاط وی و مردم وی اینجا و بنواحی بکند تا از دست بنشود و چیزی  نگردد. ( تاریخ بیهقی ص 330 ). بدرستی که او  نمی گرداند اجر نیکوکاران را. ( تاریخ بیهقی ص 311 ). التونتاش را فرو باید گرفت و این فرصت را  نباید کرد. ( تاریخ بیهقی ). تاکنون کارها سخت ناپسندیده رفته است و هر کس بکار خویش مشغول بوده و شغلهای سلطان . ( تاریخ بیهقی 154 ). هر بنده که جانب ایزد عزوجل نگاه دارد وی عز ذکره و جلت عظمته ان بنده را  بنماند. ( تاریخ بیهقی ص 255 ).نکندبا سفها مرد سخن نان جو را که زند زیره کرمانی.ناصرخسرو.تا اخر روز بازرگان بضرورت از عهده مقرر بیرون امد و متحیر بماند، روزگار. ( کلیله و دمنه ). اقوال پسندیده مدروس گشته...و  گردانیدن احکام خرد طریقتی مشروع. ( کلیله و دمنه )... و دین بی ملک . ( کلیله و دمنه ).که ز یزدان اگهیم و طایعیم ما همه بی اتفاقی یم.مولوی ( مثنوی ).لقمان حکیم اندر ان قافله بود، یکی گفتش از کاروانیان مگر اینان را نصیحتی کنی... تا طرفی از مال ما دست بدارند که دریغ باشد که چندین نعمت  شود. ( گلستان سعدی ).وصیت همین است جان  برادرکه اوقات  مکن تا توانی.سعدی.صبا از من بگو یار عبوسا قمطریرا رانمی چسبی به دل  مکن صمغ و کتیرا را.؟ || فروگذاشته. بی تیمار که پروای ان نکنند : دار ملک خویش را  چرا باید گذاشت مر سپاهان را چرا کرده ست بر غزنین گزین.فرخی. || بیکار. مهمل. معطل. فرومانده. ( دهار ) : اگر بیهنران خدمت اسلاف را وسیلت سعادت سازند خلل بکارها راه یابدو اهل هنر  مانند. ( کلیله و دمنه ). || بی ثمر. بی بر. بیفایده : الحق که در ان سعی پیوسته اید و مؤونتی تحمل کرده شود  و بی ثمرت نماند. ( کلیله و دمنه ).نباشد ترا  از کردگارت اگر بی کسان را کنی دستیاری.کمال اسماعیل.فضل و هنر ست تا ننمایندعود بر اتش نهند و مشک بسایند.بیشتر بخوانید ...,
944,ضبط و ربط یا ظفت و رفت یا ظفط و رفط کردن,1- سروسامان یا نظم و ترتیب دادن؛ مرتب کردن 2- کسی را اداره کردن یا سربه راه کردن,"1- این ادم اینقدر بی عرضه است که زندگی خودش را هم نمی تواند ضبط و ربط کند.  2- خانوم جون همیشه می گفت: ""زن باید مدیر باشه، باید شوهرشو ضبط و ربط کنه تا سروگوشش نجنبه""."
945,ضجه مویه یا زنجموره یا زنجمویه کردن,گریه و زاری یا ناله وفریاد بسیار کردن,- از بس که شرکت کنندگان در مجلس ختم ضجه مویه کردند، داشتم از حال می رفتم.  - البته عزاداری برای متوفا لازمه، اما تا ابد که نمی شه نشست و زنجموره کرد، بالاخره زندگی باید ادامه پیدا کنه. توضیح: به احتمال زیاد، زنجمویه و زنجموره صورت های دگرگون شده ی ضجه مویه هستند.
946,ضد حال,چیز ناخوشایند,
947,ضد حال زدن,حال گیری کردن,
948,ضرب چیزی را گرفتن,از شدت یا تاثیر ضربه ای کاستن,شانس اوردم که کلاه سرم بود و ضربه ی ان پاره اجر را گرفت وگرنه معلوم نیست که زنده می ماندم.
949,ضرب دستش را چشیده است,برتری حریف خود را می داند و جرئت مقابله با او را ندارد.,
950,ضرب شست نشان دادن,نشان دادن زور یا توانایی خود [ به کسی ],باید یک ضرب شستی به این اقایان نشان بدهیم تا بفهمند یک من ارد چندتا نان می دهد.
951,ضرب شستی به کار بردن,برای پیشرفت امر خود تدبیری به کار بردن، با هر حیله بر حریف غالب شدن.,
952,ضرر تلخه,ضرر و زیان اگر هم باشد ناراحت کننده است.,
953,طبع کسی برنداشتن,برای کسی ناخوشایند بودن,- من البته احترام همه را نگه می دارم، اما راستش را بخواهی، طبعم برنمی دارد با این جور ادم ها معاشرت کنم.  - با انکه خیلی ها حاضر بودند به او کمک کنند، طبعش برنمی داشت که از کسی کمک بگیرد. این بود که تا اخر عمر در تنهایی و تنگدستی زندگی کرد.
954,طبق زدن,. [ ط ب  ز د ] ( مص مرکب ) ارامش زن با زن. سحق. مساحقه. رجوع به طبق شود.,
955,طبل توخالی,(مجموعه تلویزیونی).   مجموعه تلویزیونی ایرانی به کارگردانی احمد نجیب زاده است که در دهه فجر ۱۳۶۲ از شبکه یک پخش شد. در توطئه ای به منظور براندازی نظام جمهوری اسلامی، یکی از عوامل رژیم گذشته به کمک شخصی که شباهت ظاهری زیادی به محمدرضا پهلوی دارد، مرگ شاه را تکذیب کرده و شایعهٔ بازگشت او را پخش می کند. عوامل بیگانه نیز به کمک او می شتابند، اما دست اندرکاران توطئه، یکدیگر را نیز به بازی می گیرند تا انکه سرانجام رازشان فاش و همگی دستگیر می شوند. • ناصر گیتی جاه در نقش محمدرضا شاه • کیومرث ملک مطیعی • بهروز کریمی • محمدعلی ورشوچی • رضا کرم رضایی • منوچهر حامدی • حسین پناهی • فرهاد خانمحمدی • احمدعلی نژادفیضی • رعنا صفوی • محمد ابهری • علی پویانwiki:  (مجموعه تلویزیونی)گزارش تخلف یا اشتباه در معنی,
956,طبل زیر گلیم زدن,پنهان داشتن موضوعی که همه می دانند، پنهانکاری کردن,
957,طبل یا کوس چیزی را زدن یا کوبیدن,خبری را همه جا پخش کردن,با انتشار ویدیوی نامتعارفی از پادشاه تایلند همراه با دختری در یک مرکز خرید مونیخ، طبل رسوایی او را در جهان زدند.  ( خبرگزاری ها ) توضیح: در گذشته های دور، در هنگام بروز جنگ، جارچیان بر بالای بارو، در میدان شهر یا چهارسوق ها بر کوس ( طبلی بزرگ ) می کوفتند که به ان «کوس جنگ» می گفتند. با این کار مردم شهر از نزدیک شدن جنگ باخبر و افراد لشگری به پادگان ها خوانده می شدند.  ( برگرفته از پایگاه «زیر این گنبد کبود» )
958,طرف کسی را گرفتن,از کسی جانب داری یا پشتیبانی یا هواخواهی کردن,هیچ انتظار نداشتم که برادر خودم طرف دشمن من را بگیرد.
959,طشت از بام افتادن,بی ابرو و رسوا شدن، انچه پوشیده بوده برملا گشتن.,
960,طشت کسی از بام افتادن,( قدیم )  اشکار شدن راز یا رسوا شدن کسی,طبل پنهان چه زنم طشت من از بام افتاد  کوس رسوایى ما بر سر بازار زدند  ( مثنوی )   - طشتش مدت هاست که از بام افتاده و حنایش دیگر رنگی ندارد. توضیح: جعفر شهری در کتاب «تهران قدیم» نقل کرده که در گذشته های نه چندان دور در تهران رسم بوده که در شب زفاف چنانچه داماد نوعروس را باکره نمی یافت، خود یا یکی از نزدیکانش بر بام خانه ی نوعروس شده و از سر شب تا نیمه شب با ملاقه ای بزرگ یا ابگردان بر پشت تشتی می کوفت و سپس تشت را از بام به حیاط خانه ی نوعروس می انداخت و این گونه تا هفت محل را از ماجرا مطلع می ساخت.  ( برگرفته از پایگاه «زیر این گنبد کبود» )
961,طلا که پاکه چه منتش به خاکه,شخص پاک و درست کاری برای اثبات بی گناهی خود، به رفع و رجوع و شاهد و واسطه نیاز ندارد.,
962,طمع زیاد مایه جوانمرگی است,ادم طمع پیشه غالبا جان خود را به خطر می انداز,
963,طناب مفت گیر بیاره خودشه دار میزنه,مفت خور و سوءاستفاده کننده، کسی که از هیچ چیز مفت صرف نظر نکند.,
964,طوطی وار,مانند طوطی همچون طوطی : این جملات را  بر زبان اورد .,
965,طوق لعنت برگردن کسی افتادن,گرفتار زحمت و دردسر شدن، دچار همسر بد رفتار و بد اخلاق شدنطناب گدایی کسی را بریدن,
966,طی نکرده گز کردن,بدون مطالعه و نسنجیده دست به کاری زدن,
967,ظاهر و باطن,بی ریا، روراست و ساده، دل و زبان یکی بودن.,
968,ظفت ورفت کردن,( عامیانه ) نظم وترتیب دادن؛ توجه یا مراقبت کردن,چارتا بچه ی قدونیم قد دماغو با لباس های کنده پاره و سروروی کثیف برای خودشون می پلکیدن و توی سروکله ی همدیگه می زدن. معلوم بود کسی نیست که ظفت ورفتشون کنه.
969,ظل افتاب,تابش شدید افتاب؛ گرمای شدید,حالا چه عجله ایه توی این ، بذار یک کم هوا خنک تر بشه با هم می ریم.
970,عاشق چشم های بادامی یا چشم و ابروی کسی بودن,سخت شیفته ی کسی بودن,به خیالت می رسه من عاشق چشم های بادومیت هستم؟ یه اردنگ روبه قبله بهت می زنم بری اونجا که عرب نی بندازه.  ( علویه خانم – صادق هدایت ) توضیح: این اصط. به طور معمول به طنز و برای بیان این مفهوم به کار می رود که گوینده علاقه ی ویژه ای به مخاطب ندارد و رابطه شان بر پایه ی سود است.
971,عاشق چشم و ابروی کسی نبودن,مفت و مجانی برای کسی کار نکردن، بی جهت برای کسی به اب و اتش نزدن.,
972,عاشقی پیداست از زاری دل,همانند رنگ رخساره خبر میدهد از سرضمیر,
973,عاشقی شیوه رندان بلاکش باشد,به دست اوردن مطلوب خویش کار چندان اسانی نیست.,
974,عاقبت به خیر شدن,به رستگاری و راه خوشبختی رسیدن,
975,عاقبت جوینده یابنده بود,باجستجو و تلاش به مقصود خود نایل خواهی شد,
976,عاقبت خشم پشیمانی است,از ادم خشمگین کارهای سرمی زند که سپس باعث ندامت اوست.,
977,عاقبت گذر پوست به دباغ خانه می افتد,هر کسی باید روزی حساب اعمال خود را پس بدهد.,
978,عاقل تا پی پل می گشت دیوانه پا برهنه از اب گذشت,هر مشکل چاره ای دارد، اگر از راه ملایمت نشدباید جسارت به خرج داد.,
979,عاقلان دانند,به دو معنی:,
980,عاید کسی شدن,[ چیزی ] [ چیزی ] نصیب کسی شدن یا گیر کسی امدن,ما صبح تا شب اینجا جان می کنیم، اما هیچ چیز عایدمان نمی شود.
981,عبای ملانصرالدین است,چند نفر به نوبت ان را می پوشند، همه از ان استفاده میکنند.,
982,عجب کشکی ساییدم,همه چیز بر خلاف انتظار ما از اب درامد,
983,عجله کار شیطان است,هیچ کاری با عجله و اظطراب به سرانجام خیر و نتیجه درست و مطلوب نخواهد رسید.,
984,عدو شود سبب خیر اگر خدا خواهد,اگر خدا بخواهد چه بسا دردسرها و توطئه ها و دشمنی ها به دست خود دشمن موجب خیر و برکت می گردند.,
985,عذر بدتر از گناه,در توجیه کار بد خود دلیل زشت تری اوردن,
986,عذر کسی را خواستن,کسی را از مقامی یا جایی اخراج کردن,خودش هم می دانست که کارش مدت زیادی دوام نخواهد اورد و همین که جواب استعلام از ساواک برسد، عذرش را خواهند خواست. توضیح: همچنین ← کسی را جواب کردن
987,عرش را سیر می کند,به کسی می گویند که بخاطر وقوع امری مطلوب و غیر منتظره بسیار خوشحال و ذوق زده باشد.,
988,عرش را سیر کردن,در اوج شادی و خوشی بودن,از اینکه رئیسش در اداره جلوی کارمندان دیگر از او تعریف کرده بود، عرش را سیر می کرد. توضیح: همچنین ← «عشق دنیا را کردن» و ← «خرکیف شدن»
989,عرصه را بر کسی تنگ کردن,کسی را در تنگنا قرار دادن؛ زندگی را برای کسی دشوار کردن,پاسبان ها و ماموران رنگارنگ دولتی با مزاحمت ها و اخاذی های خود عرصه را بر کاسب های خرد و پیشه وران تنگ کرده بودند.
990,عروس بی تنبان شدن,بی ابرو شدن؛ عزت و احترام خود را از دست دادن,الهی صدهزار مرتبه شکر که از این اقایی و بزرگی هم افتادی، عروس بی تنبان شدی،... امیدوارم بدتر از اینت را هم به همین زودی ها ببینم.  ( جعفر شهری- شکر تلخ )
991,عروس تعریفی اخرش شلخته از اب درامد,با انهمه تعریفش جنس نامرغوبی از اب درامد,
992,عروس تعریفی گوزو از اب در اومد,درباره کسی می گویند که بر خلاف خوشگویی ها و تعاریفی که از او شده رفتار ناپسندی را انجام می دهد.,
993,عروس نمی تونست برقصه می گفت اتاق کجه,!کسی که قادر به انجام کاری نباشد و برای توجیه خود از شرایط و ابزار کار ایراد بگیرد. بهانه تراشی.,
994,عروس هزار داماد,منظور دنیا و بی وفائی ان است که هر روز بر وفق مراد کسی است و روز بعد از او روی می گرداند.,
995,عزرائیل را جواب کردن,به کسی یا بیمار بدحالی می گویند که از مرگ حتمی جان بدر برده باشد.,
996,عزرائیل هم رغبت نمی کنه طرفش بیاد,اشاره به ادم زشت و لاغر یا بیماری که انقدر از ریخت و رو افتاده و بدحال است که عزرائیل هم از او روی می گرداند.,
997,عسس مرا بگیر,عسس [ بیا ] مرا بگیرهنگامی گفته می شود که کسی به دست خود باعث گرفتاری خود شود.,گفت چطور است که خودمان به پلیس اطلاع بدهیم که چنین اتفاقی افتاده است. به او گفتم این کار درست مصداق  است، تا زمانی که کسی از تو چیزی نپرسیده، بهتر است سکوت کنی.
998,عشق دنیا را کردن,( عامیانه ) بسیار لذت بردن؛ غرق در شادی شدن؛ خوشبخت بودن,- به خاطر اینکه دخترک در ان مهمانی به او توجه کرده بود و برایش دست زده بود، عشق دنیا را می کرد.  - اره جونم، تو عذبی و عشق دنیا رو می کنی. از وضع ما بیچاره ها هم اصلا خبر نداری که باید دایم به فکر نون شب زن و بچه باشیم. توضیح: همچنین ← «عرش را سیرکردن» و ← «خرکیف شدن»
999,عشق هایی کز پی رنگی بود عشق نبود عاقبت ننگی بود,عشق واقعی با نفس پرستی و عشقی که با دیدن ظاهر و اب و رنگ به وجود می اید فرق می کند، عشق های ظاهری نتیجه ای جز ننگ و بدنامی ندارد.,
1000,عشوه شتری غمزه خرکی,ناز بیخودی که اصلا هم به طرف نمی اید.,
1001,عطای کسی را به لقایش بخشیدن,از نیکی یا بخشش یا خوبی کسی به خاطر ویژگی ناخوشایندش یا عمل ناخوشایندی که ممکن است از او سر بزند گذشتن یا صرف نظر کردن,- گرد در پادشاهان مگردید و عطای ایشان به لقای دربانان ایشان بخشید.  ( عبید زاکانی - رساله ی صدپند )   - انقدر اداد و اصول دراورد که از خیر کمکش گذشتم و عطایش را به لقایش بخشیدم.
1002,عطایش را به لقایش بخشید,کسی که چون حاضر به دیدن و مراوده با شخص بداخلاق یا منت گذار نیست از خیر لطف و فایدة ان شخص هم صرف نظر می کند.,
1003,عقل سالم در بدن سالم,است از ضرب المثل معروف در زبان های گوناگون جهان از جمله در زبان فارسی است که ترجمه ای از عبارت معروف لاتین Mens sana in corpore sano به همین معنی است. این عبارت بخشی است از متنی در طنزنامه شماره ۱۰ ( ۱۰:۳۵۶ ) در نوشتارهای شاعر رومی، جوونال ( Juvenal ) است که به عنوان پاسخی به این پرسش که مردم در زندگی باید خواهان چه چیزهایی باشند می نویسد:بایستی دعا کرد تا عقل سالم باشد، در بدنی سالم خواستار روانی متهور باش که از هراس مرگ عاری باشد روانی که دیرزیستی را برترین برکات طبیعت بشمارد و هر گونه رنج و زحمتی را تاب اورد روانی بیگانه با خشم، که تشنه تهی دستی است و باور دارد که سختی و کار شاق هرکول بهتر است از رضایت مندی ها، ضیافت ها و پر قوی شاهان شرقی. از انچه می توانی به خود ارزانی داری پرده برمی دارم: همانا که زندگی بی دغدغه جز از رهگذر پرهیزگاری حاصل نمی گردد ( ۶۴ - ۱۰:۳۵۶ ) ضرب المثلی فارسی با معنایی قابل قیاس با این مفهوم در شاهنامه فردوسی وجود دارد:wiki: گزارش تخلف یا اشتباه در معنی,
1004,نم پس ندادن,1- بسیار خسیس بودن 2- رازدار یا پنهان کار بودن,1- امیدی به کمک گرفتن از عموجانت نداشته باش، این ادم نم پس نمی دهد.  2- بازجوها بارها او را برای اعتراف گیری و پی بردن به نام دوستانش شکنجه کردند، اما او به هیچ وجه نم پس نداد. توضیح: همچنین ← «اب از دست کسی نچکیدن» و ← «جان به عزرائیل ندادن»
1005,نمردیم و دیدیم,تعجب یا خوشحالی از براورده شدن ارزویی و انجام شدن کاری که توقع انجامش نمی رفت.,
1006,نمره ی شهرستان,دهاتی، روستایی، جواد,
1007,نمور,. [ ن  ] ( ص مرکب ) بسیارنم. نمگین. || بوی ؛ بوی نم چنانکه درزیرزمین های مرطوب و نان و ارد مانده در رطوبت و کپره زده. از نم به معنی ندا و «-ور» به معنی دارنده و «-ور» از قبیل گنجور و رنجور و دستور. ( از یادداشت مؤلف ). || جای نم دار. ( از یادداشت مؤلف ). نمناک. نمدار. نموک. مرطوب. ( فرهنگ فارسی معین ).. [ ن  ] ( ع ا ) ج  نمر. رجوع به نمر شود : میزبانان من سیوف و رماح میهمانان من کلاب و .مسعودسعد.,
1008,نمک به حرام,. [ ن  م  ب  ح  ] ( ص مرکب ) ناسپاس. بی وفا. حق ناشناس. بی حقیقت و صداقت. خائن. سرکش و نافرمان. بدکار. بدعمل. ( ناظم الاطباء ). نمک نشناس. نمک کور. کافر. کافرنعمت. که حق نمک نگاه ندارد. که پاس ولی نعمت ندارد : نمک به ساغر می ریخت زاهد شیادکسی ی چنین ندارد یاد.فطرت ( از انندراج ).,
1009,نمک به زخم پاشیدن,غم و ناراحتی کسی را تشدید و یا خاطره ان را زنده کردن.,
1010,نمک را خوردن و نمک دان را شکستن,بی چشم و رویی، ناسپاس و نمک نشناسی.,
1011,نمک نشناس یا نمک ناشناس بودن,؛ نمک نشناسی کردن؛ نمک را خوردن و نمکدان را شکستندر برابر مهربانی کسی ناسپاسی یا خیانت کردن؛ از مال یا برسر سفره ی کسی خوردن و سپس نسبت به او ناسپاسی کردن,"- این شخص ادم نمک نشناسی است. ببین در برابر ان همه محبت های من چه رفتاری می کند.  - خودش همیشه می گفت که هرگونه انتقادی را با روی باز می پذیرد، اما همین که انتقاد ملایمی به او کردم، فریاد و فغانش برامد که: ""نمک را می خورند و نمکدان را می شکنند. ""توضیح: توضیح زیر درباره ی ریشه ی این اصط. داده شده است:  ایرانیان در دوره ی ساسانی فرستادن یک کیسه نمک را نشان وفاداری به عهد می دانستند. بر همین پایه، شاهان ساسانی هرگاه عهدی می بستند یا وعده ای می دادند، همراه با نامه ی مهرکرده ی خود، کیسه ی نمکی هم می فرستادند که نشان وفای به پیمان بود.  ( برگرفته از «کانال اصفهانی ها isf031» در تلگرام )"
1012,ننه سنگ نیم منه,جواب بچه بهانه گیر را با ننه ( مامان ) گفتن بی امان خواهش و بهانه داشته باشد و اشاره به اینکه: مادر عاشق با گذشت است که همیشه در مقابل ازار و اذیت یا کوتاهی و نادانی فرزندش گذشت کرده و نیم من می شود.,
